area_type,availability,location,size,society,total_sqft,bath,balcony,price,adjusted_price
Super built-up  Area,Ready To Move,Powai,2 BHK,Grntsd ,1550,2.0,3.0,9000.0,9000.0
Plot  Area,Ready To Move,Borivali,4 Bedroom,,4000,2.0,1.0,16836.73469,16836.73469
Plot  Area,20-Jul,Worli,3 Bedroom,,2100,3.0,2.0,41862.06897,41862.06897
Super built-up  Area,21-Dec,Mulund,2 BHK,PrarePa,1115,2.0,1.0,11329.47977,11329.47977
Super built-up  Area,Ready To Move,Bandra,3 BHK,NCowsar,1692,3.0,2.0,19704.4335,19704.4335
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1100,2.0,2.0,5972.222222,5972.222222
Super built-up  Area,Ready To Move,Chembur,3 BHK,ARureig,1385,2.0,2.0,23643.41085,23643.41085
Super built-up  Area,Ready To Move,Lower Parel,1 BHK,Amelllu,760,1.0,1.0,5666.666667,5666.666667
Super built-up  Area,19-Dec,Khar,2 BHK,Shitt S,1335,2.0,2.0,7586.206897,7586.206897
Super built-up  Area,Ready To Move,Powai,2 BHK,Kut 3or,910,2.0,1.0,15254.23729,15254.23729
Super built-up  Area,Ready To Move,Goregaon,3 BHK,MGBay T,1610,2.0,2.0,15695.06726,15695.06726
Super built-up  Area,19-Mar,Kurla,2 BHK,Puachal,1341,2.0,1.0,15879.82833,15879.82833
Plot  Area,Ready To Move,Khar,3 Bedroom,,1200,3.0,0.0,18235.29412,18235.29412
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SLnssPr,1285,2.0,2.0,23125.0,23125.0
Super built-up  Area,Ready To Move,Powai,3 BHK,,2100,3.0,,16962.8433,16962.8433
Super built-up  Area,Ready To Move,Kurla,3 BHK,IBityin,1679,3.0,,23888.88889,23888.88889
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,2675,4.0,2.0,22104.33245,22104.33245
Built-up  Area,Ready To Move,Dadar,2 BHK,,1016,2.0,1.0,12428.57143,14914.285715999999
Built-up  Area,Ready To Move,Bandra,4 Bedroom,,1500,2.0,0.0,21529.41176,21529.41176
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,660,2.0,1.0,12962.96296,12962.96296
Super built-up  Area,Ready To Move,Dadar,3 BHK,PhestOn,2448,3.0,2.0,20000.0,24000.0
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,924,2.0,2.0,22279.34876,22279.34876
Super built-up  Area,18-Jul,Kurla,1 BHK,Maian M,500,1.0,1.0,18329.9389,18329.9389
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1800,3.0,2.0,16403.78549,16403.78549
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Vixirri,1255,2.0,3.0,34222.22222,34222.22222
Super built-up  Area,18-Dec,Dadar,2 BHK,Inaxyga,1040,2.0,2.0,35714.28571,42857.142852
Super built-up  Area,Ready To Move,Kurla,2 BHK,Vehida ,1062,2.0,2.0,10000.0,10000.0
Super built-up  Area,19-Dec,Lower Parel,2 BHK,Aseenh ,770 - 841,2.0,0.0,15957.44681,15957.44681
Super built-up  Area,Ready To Move,Colaba,2 BHK,Nimesch,950,2.0,1.0,22105.26316,28736.842108
Super built-up  Area,18-May,Colaba,2 BHK,Prtates,1216,2.0,1.0,21250.0,27625.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,AdadeEs,1300,2.0,2.0,17857.14286,23214.285718
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1390,2.0,2.0,7414.634146,8897.5609752
Super built-up  Area,19-Jul,Juhu,2 BHK,Goues A,1033,2.0,1.0,40000.0,52000.0
Super built-up  Area,19-Dec,Ghatkopar,2 BHK,Goues A,1390,2.0,2.0,8396.946565,8396.946565
Super built-up  Area,Ready To Move,Khar,2 BHK,,1020,2.0,1.0,5208.333333,5208.333333
Super built-up  Area,19-Dec,Bandra,1 BHK,Oreldhi,524 - 894,1.0,0.0,16525.02361,16525.02361
Super built-up  Area,18-Oct,Andheri,2 BHK,ARipsul,1140,2.0,2.0,17857.14286,21428.571432
Super built-up  Area,Ready To Move,Powai,1 BHK,IBityin,670,1.0,1.0,34722.22222,34722.22222
Super built-up  Area,18-Jul,Vile Parle,4 BHK,Rosha I,2171,4.0,2.0,33700.98039,33700.98039
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Gundaa ,1136,2.0,1.0,20481.92771,20481.92771
Built-up  Area,Ready To Move,Powai,3 BHK,Sueesti,1477,2.0,2.0,30357.14286,30357.14286
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1001,2.0,2.0,20344.82759,26448.275867
Super built-up  Area,19-Dec,Goregaon,2 BHK,Goues A,1040,2.0,1.0,8666.666667,8666.666667
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1060,2.0,1.0,35433.07087,35433.07087
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1240,2.0,1.0,16080.0,16080.0
Super built-up  Area,Ready To Move,Worli,4 BHK,ETntsce,3500,5.0,,18518.51852,18518.51852
Super built-up  Area,Ready To Move,Vile Parle,9 BHK,,42000,8.0,3.0,16806.02007,16806.02007
Super built-up  Area,20-Dec,Bandra,2 BHK,Myple M,1070,2.0,2.0,4456.521739,4456.521739
Built-up  Area,Ready To Move,Malad,2 BHK,SJmesst,1253,2.0,1.0,13600.0,13600.0
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Srmesun,1190,2.0,2.0,40625.0,40625.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,Sparam ,1312,2.0,2.0,20782.39609,20782.39609
Built-up  Area,Ready To Move,Powai,2 BHK,HovasTe,750,2.0,0.0,21363.63636,21363.63636
Built-up  Area,Ready To Move,Mulund,3 BHK,KHage G,1615,3.0,2.0,35666.66667,35666.66667
Built-up  Area,Ready To Move,Powai,2 BHK,,1095,2.0,1.0,17250.0,17250.0
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Gotis A,1745,3.0,3.0,7500.0,7500.0
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1050,2.0,2.0,20454.54545,20454.54545
Plot  Area,Ready To Move,Chembur,4 Bedroom,,2080,4.0,2.0,22012.57862,22012.57862
Super built-up  Area,Ready To Move,Kurla,2 BHK,MenueNo,1220,2.0,1.0,12083.33333,12083.33333
Super built-up  Area,Ready To Move,Malad,3 BHK,Sonumy ,1793,3.0,2.0,6000.0,6000.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1100,1.0,2.0,7454.545455,7454.545455
Super built-up  Area,Ready To Move,Colaba,2 BHK,Covelrs,1385,2.0,3.0,38235.29412,49705.882356
Super built-up  Area,Ready To Move,Khar,2 BHK,,1200,2.0,2.0,17692.30769,17692.30769
Super built-up  Area,Ready To Move,Andheri,3 BHK,NDionas,2017,2.0,2.0,63035.71429,75642.857148
Super built-up  Area,Ready To Move,Dadar,1 BHK,Jae 1hu,400,1.0,1.0,16296.2963,19555.55556
Super built-up  Area,18-Apr,Santacruz,3 BHK,,1400,2.0,2.0,19130.43478,19130.43478
Super built-up  Area,Ready To Move,Borivali,2 BHK,Saaveir,960,2.0,1.0,16250.0,16250.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,Aklia R,1125,2.0,1.0,17441.86047,17441.86047
Super built-up  Area,Ready To Move,Powai,3 BHK,Javasi ,1551,2.0,2.0,36666.66667,36666.66667
Plot  Area,Ready To Move,Andheri,4 Bedroom,,600,4.0,2.0,18750.0,22500.0
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1246,2.0,1.0,25362.31884,30434.782607999998
Built-up  Area,18-Apr,Juhu,4 BHK,,3200,4.0,3.0,36585.36585,47560.97560500001
Super built-up  Area,Ready To Move,Malad,2 BHK,SrncyRe,1060,2.0,1.0,16363.63636,16363.63636
Super built-up  Area,Ready To Move,Worli,2 BHK,ReudePr,1384,2.0,2.0,10940.17094,10940.17094
Super built-up  Area,Ready To Move,Juhu,2 BHK,VBavaai,620,2.0,1.0,14272.72727,18554.545450999998
Super built-up  Area,18-Jun,Vile Parle,2 BHK,SSestth,1005,2.0,1.0,19161.67665,19161.67665
Plot  Area,Ready To Move,Mulund,3 Bedroom,,1200,3.0,2.0,27249.13495,27249.13495
Built-up  Area,Ready To Move,Lower Parel,3 BHK,,1400,3.0,2.0,8743.169399,8743.169399
Super built-up  Area,Ready To Move,Malad,3 BHK,SrisePo,2400,3.0,3.0,4000.0,4000.0
Super built-up  Area,Ready To Move,Borivali,2 BHK,Rabow R,1096,2.0,1.0,19680.85106,19680.85106
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1180,1.0,0.0,28000.0,28000.0
Super built-up  Area,Ready To Move,Malad,3 BHK,,1300,2.0,1.0,16190.47619,16190.47619
Plot  Area,18-Apr,Powai,2 Bedroom,,1020,2.0,1.0,10582.01058,10582.01058
Plot  Area,Ready To Move,Borivali,2 Bedroom,,600,2.0,0.0,47220.10663,47220.10663
Super built-up  Area,Ready To Move,Mulund,4 BHK,Vacesi ,3563,6.0,1.0,7474.226804,7474.226804
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1165,2.0,2.0,10000.0,10000.0
Super built-up  Area,18-Mar,Lower Parel,3 BHK,NiCodCa,1685,3.0,3.0,15000.0,15000.0
Super built-up  Area,Ready To Move,Bandra,3 BHK,GrrvaGr,1580,3.0,3.0,18471.33758,18471.33758
Super built-up  Area,Ready To Move,Mulund,2 BHK,Soresea,1210,2.0,1.0,4885.057471,4885.057471
Super built-up  Area,Ready To Move,Dadar,2 BHK,DSOakil,1030,1.0,2.0,45555.55556,54666.666672
Built-up  Area,Ready To Move,Colaba,2 BHK,,1100,2.0,2.0,4285.714286,5571.428571800001
Super built-up  Area,19-Dec,Lower Parel,3 BHK,Magiaya,1255,3.0,2.0,28000.0,28000.0
Super built-up  Area,20-Dec,Vile Parle,3 BHK,ArndsSk,1482,3.0,2.0,18000.0,18000.0
Super built-up  Area,Ready To Move,Dadar,2 BHK,Prersis,1344,2.0,1.0,11234.5679,13481.48148
Super built-up  Area,18-Jun,Kurla,3 BHK,,1275,2.0,2.0,21212.12121,21212.12121
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,462,3.0,,15740.74074,15740.74074
Super built-up  Area,Ready To Move,Malad,4 BHK,SNtua S,3300,5.0,3.0,12666.66667,12666.66667
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1210,2.0,2.0,28000.0,28000.0
Super built-up  Area,19-Jun,Ghatkopar,3 BHK,Raard B,1320,3.0,3.0,15867.97842,15867.97842
Super built-up  Area,19-Mar,Khar,3 BHK,Skume R,1532,3.0,2.0,33750.0,33750.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,Maerar ,1245,2.0,2.0,21739.13043,28260.869559000002
Super built-up  Area,Ready To Move,Bandra,2 BHK,MaentNa,1212,2.0,,14196.89119,14196.89119
Super built-up  Area,18-Oct,Bandra,2 BHK,,1230,2.0,1.0,23229.46176,23229.46176
Plot  Area,Ready To Move,Chembur,5 Bedroom,,1000,5.0,2.0,15714.28571,15714.28571
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,DNeremo,2257,3.0,2.0,6761.904762,6761.904762
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1246,2.0,1.0,33750.0,33750.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,Akncyes,1080,2.0,2.0,4878.04878,5853.658536
Plot  Area,Ready To Move,Colaba,6 Bedroom,,3Cents,6.0,3.0,35428.57143,46057.14285900001
Super built-up  Area,Ready To Move,Dadar,3 BHK,Vaensia,1360,2.0,3.0,37500.0,45000.0
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1260,2.0,2.0,10000.0,10000.0
Built-up  Area,Ready To Move,Powai,4 Bedroom,,1200,3.0,0.0,21428.57143,21428.57143
Super built-up  Area,Ready To Move,Powai,2 BHK,Prtanha,1418,2.0,2.0,21680.2168,21680.2168
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,1200,3.0,1.0,30092.59259,30092.59259
Super built-up  Area,Ready To Move,Kurla,2 BHK,,950,2.0,1.0,20192.30769,20192.30769
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1020,2.0,2.0,16666.66667,16666.66667
Super built-up  Area,18-May,Colaba,3 BHK,Sryalan,1400,2.0,2.0,14423.07692,18749.999996
Plot  Area,Ready To Move,Borivali,4 Bedroom,,1440,4.0,0.0,6000.0,6000.0
Built-up  Area,Ready To Move,Goregaon,6 BHK,,800,6.0,2.0,46315.78947,46315.78947
Super built-up  Area,18-Sep,Powai,3 BHK,MCnexva,1310 - 1615,,,28125.0,28125.0
Super built-up  Area,18-May,Dadar,2 BHK,Shitt S,1175,2.0,1.0,18000.0,21600.0
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,GrrvaGr,1185,2.0,1.0,10050.25126,10050.25126
Super built-up  Area,Ready To Move,Khar,3 BHK,GRvasth,2250,3.0,1.0,22411.95304,22411.95304
Super built-up  Area,Ready To Move,Bandra,2 BHK,S2kaaan,1178,2.0,2.0,16619.71831,16619.71831
Super built-up  Area,Ready To Move,Santacruz,4 BHK,Roale D,36000,4.0,2.0,17360.0,17360.0
Super built-up  Area,Ready To Move,Santacruz,1 BHK,UKe 2nz,825,1.0,1.0,11904.7619,11904.7619
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3.0,2.0,15274.72527,15274.72527
Super built-up  Area,Ready To Move,Chembur,2 BHK,Courf T,1113.12,2.0,2.0,13944.22311,13944.22311
Super built-up  Area,Ready To Move,Bandra,3 BHK,SaignSo,1718,3.0,3.0,21198.83041,21198.83041
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Srncyla,1010,2.0,1.0,22624.43439,22624.43439
Super built-up  Area,21-Dec,Juhu,2 BHK,PrarePa,900,2.0,1.0,16101.69492,20932.203396
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1500,4.0,3.0,33333.33333,33333.33333
Plot  Area,Ready To Move,Malad,1 Bedroom,,540,1.0,1.0,21527.77778,21527.77778
Super built-up  Area,18-May,Kurla,2 BHK,,1020,2.0,2.0,9066.666667,9066.666667
Super built-up  Area,18-Jun,Colaba,2 BHK,PuendWe,1194,2.0,1.0,5238.095238,6809.5238094
Plot  Area,Ready To Move,Powai,8 Bedroom,,1470,6.0,2.0,16266.66667,16266.66667
Plot  Area,Ready To Move,Dadar,3 Bedroom,,600,4.0,2.0,20698.05195,24837.66234
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prarkun,1108,2.0,1.0,19615.38462,19615.38462
Built-up  Area,Ready To Move,Andheri,4 BHK,RMudeat,3895,2.0,1.0,23030.30303,27636.363636
Super built-up  Area,21-Jan,Juhu,2 BHK,PrarePa,700,2.0,1.0,10714.28571,13928.571423000001
Super built-up  Area,Ready To Move,Powai,3 BHK,,1600,3.0,3.0,24509.80392,24509.80392
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1850,3.0,2.0,15757.57576,15757.57576
Super built-up  Area,Ready To Move,Borivali,2 BHK,LIandee,1250,2.0,2.0,18095.2381,18095.2381
Built-up  Area,Ready To Move,Lower Parel,1 Bedroom,,600,1.0,1.0,40740.74074,40740.74074
Super built-up  Area,Ready To Move,Worli,2 BHK,GrrvaGr,1140,2.0,1.0,16800.0,16800.0
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1200,2.0,2.0,18395.87932,18395.87932
Super built-up  Area,Ready To Move,Worli,2 BHK,Rarelt ,985,2.0,1.0,22110.55276,22110.55276
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sronda ,982,2.0,2.0,35416.66667,35416.66667
Built-up  Area,Ready To Move,Goregaon,1 BHK,NaensGa,600,1.0,0.0,24118.7384,24118.7384
Super built-up  Area,Ready To Move,Powai,3 BHK,Brica E,2640,5.0,1.0,28846.15385,28846.15385
Super built-up  Area,Ready To Move,Andheri,2 BHK,DLhtsnd,1314,2.0,2.0,57928.57143,69514.285716
Super built-up  Area,Ready To Move,Powai,3 BHK,,1700,2.0,2.0,27272.72727,27272.72727
Super built-up  Area,18-May,Chembur,2 BHK,Inntsth,1077,2.0,2.0,13461.53846,13461.53846
Built-up  Area,Ready To Move,Powai,4 Bedroom,MRowsea,1782 - 2000,,,12571.42857,12571.42857
Super built-up  Area,Ready To Move,Juhu,5 BHK,,2000,4.0,1.0,20666.66667,26866.666671
Super built-up  Area,Ready To Move,Khar,3 BHK,Viockit,1643,3.0,2.0,20000.0,20000.0
Plot  Area,Ready To Move,Mulund,3 Bedroom,,1200,3.0,1.0,18518.51852,18518.51852
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Sonviik,1116,2.0,1.0,9714.285714,9714.285714
Super built-up  Area,Ready To Move,Worli,2 BHK,SLtias ,1020,2.0,1.0,17000.0,17000.0
Built-up  Area,Ready To Move,Dadar,7 Bedroom,,621,7.0,,23195.87629,27835.051548
Built-up  Area,Ready To Move,Dadar,3 BHK,InockHo,1740,3.0,2.0,8137.254902,9764.7058824
Super built-up  Area,18-May,Ghatkopar,2 BHK,,1225,2.0,2.0,21875.0,21875.0
Built-up  Area,Ready To Move,Colaba,3 BHK,Pronyt ,1241,2.0,1.0,19230.76923,24999.999999000003
Super built-up  Area,Ready To Move,Powai,2 BHK,MDncyhi,1041,2.0,2.0,17619.04762,17619.04762
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Jaw 2 L,1050,2.0,2.0,16197.1831,16197.1831
Super built-up  Area,18-Mar,Vile Parle,3 BHK,,4400,3.0,1.0,13636.36364,13636.36364
Super built-up  Area,21-May,Borivali,2 BHK,GolusLi,1309,2.0,3.0,25316.4557,25316.4557
Super built-up  Area,Ready To Move,Worli,2 BHK,,1128,2.0,2.0,11290.32258,11290.32258
Super built-up  Area,Ready To Move,Colaba,3 BHK,7 ise P,1430,2.0,1.0,21341.46341,27743.902433000003
Super built-up  Area,19-Dec,Colaba,2 BHK,SheldGr,1065,2.0,1.0,5000.0,6500.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1085,2.0,1.0,30000.0,36000.0
Plot  Area,Ready To Move,Mulund,1 Bedroom,,750,1.0,1.0,9066.666667,9066.666667
Super built-up  Area,Ready To Move,Colaba,2 BHK,,981,2.0,2.0,20454.54545,26590.909085000003
Carpet  Area,18-Dec,Kurla,4 BHK,Rosha I,1548.3,4.0,1.0,15555.55556,15555.55556
Super built-up  Area,Ready To Move,Khar,4 BHK,Goateds,2302,4.0,2.0,14000.0,14000.0
Built-up  Area,Ready To Move,Mulund,3 BHK,,1410,2.0,2.0,22000.0,22000.0
Super built-up  Area,19-Mar,Chembur,3 BHK,Sosisic,1525.84,3.0,1.0,5411.764706,5411.764706
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Dhalsh ,1200,2.0,2.0,24444.44444,24444.44444
Built-up  Area,Ready To Move,Bandra,2 BHK,,1030,2.0,2.0,16666.66667,16666.66667
Super built-up  Area,Ready To Move,Bandra,3 BHK,Coise P,1852,2.0,,25391.84953,25391.84953
Built-up  Area,18-Dec,Worli,2 BHK,,1160,2.0,1.0,18641.81092,18641.81092
Built-up  Area,Ready To Move,Chembur,2 BHK,DLhtsan,918,2.0,1.0,17567.56757,17567.56757
Super built-up  Area,19-Dec,Malad,3 BHK,Magiaya,1255,2.0,1.0,29166.66667,29166.66667
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1200,6.0,3.0,27777.77778,36111.111114
Built-up  Area,Ready To Move,Mulund,3 BHK,,1150,2.0,2.0,24000.0,24000.0
Super built-up  Area,Ready To Move,Malad,3 BHK,,2700,3.0,,31666.66667,31666.66667
Built-up  Area,18-Mar,Colaba,2 BHK,,1150,2.0,2.0,12145.74899,15789.473687
Super built-up  Area,Ready To Move,Powai,2 BHK,Iseenst,1227,2.0,2.0,10989.01099,10989.01099
Super built-up  Area,18-Dec,Kurla,3 BHK,Magiaya,1255,3.0,2.0,12857.14286,12857.14286
Plot  Area,Ready To Move,Andheri,6 Bedroom,,840,8.0,0.0,15697.67442,18837.209304
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Prcesvy,1198,2.0,1.0,13500.0,13500.0
Plot  Area,Ready To Move,Juhu,3 Bedroom,,1200,3.0,1.0,15681.00358,20385.304654
Built-up  Area,Ready To Move,Malad,3 BHK,CaaveEn,188.89Sq. Yards,3.0,1.0,19000.0,19000.0
Built-up  Area,Ready To Move,Powai,4 Bedroom,V2gesre,2600,3.0,1.0,16339.86928,16339.86928
Super built-up  Area,Ready To Move,Colaba,3 BHK,Prtanha,2072,4.0,2.0,16100.0,20930.0
Super built-up  Area,Ready To Move,Khar,2 BHK,Shvarji,797,2.0,1.0,5853.658537,5853.658537
Built-up  Area,Ready To Move,Malad,3 BHK,Rarelt ,1350,2.0,3.0,17187.5,17187.5
Built-up  Area,Ready To Move,Kurla,4 BHK,EsniaGa,2500,4.0,,27000.0,27000.0
Super built-up  Area,Ready To Move,Malad,3 BHK,Prtanha,2215,4.0,2.0,29857.81991,29857.81991
Super built-up  Area,21-Dec,Dadar,1 BHK,PrarePa,525,1.0,1.0,21929.82456,26315.789472
Super built-up  Area,Ready To Move,Ghatkopar,4 BHK,,2700,4.0,3.0,31818.18182,31818.18182
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1500,2.0,1.0,17789.47368,17789.47368
Plot  Area,Ready To Move,Dadar,2 Bedroom,,900,2.0,0.0,21851.85185,26222.22222
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1355,2.0,3.0,11090.90909,14418.181816999999
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1465,2.0,2.0,33478.26087,43521.739131
Plot  Area,Ready To Move,Khar,2 Bedroom,SVoutow,1006,2.0,1.0,18333.33333,18333.33333
Built-up  Area,Ready To Move,Andheri,4 BHK,,2000,4.0,1.0,35000.0,42000.0
Super built-up  Area,18-Aug,Santacruz,2 BHK,Prarkun,1128,2.0,1.0,3875.968992,3875.968992
Built-up  Area,Ready To Move,Santacruz,2 BHK,,850,2.0,0.0,17381.22827,17381.22827
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Shhin S,1310,2.0,3.0,7027.027027,7027.027027
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Bregae ,1390,2.0,2.0,18461.53846,18461.53846
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1390,2.0,2.0,31739.13043,38086.956516
Plot  Area,Ready To Move,Juhu,4 Bedroom,,2396,4.0,2.0,19176.47059,24929.411767
Super built-up  Area,Ready To Move,Malad,2 BHK,Cearuy ,1170,2.0,1.0,18446.60194,18446.60194
Super built-up  Area,Ready To Move,Khar,3 BHK,Apentir,1385,2.0,2.0,16956.52174,16956.52174
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1160,2.0,1.0,28150.13405,28150.13405
Super built-up  Area,18-May,Kurla,2 BHK,Sryalan,1160,2.0,1.0,15500.0,15500.0
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SNity S,1200,2.0,2.0,8679.245283,8679.245283
Super built-up  Area,Ready To Move,Andheri,2 BHK,3Codeli,1475,2.0,2.0,16339.86928,19607.843136
Built-up  Area,20-Jul,Mulund,3 Bedroom,NVdenic,1939,3.0,0.0,22857.14286,22857.14286
Built-up  Area,Ready To Move,Borivali,2 BHK,Prhna S,850,2.0,2.0,30000.0,30000.0
Built-up  Area,17-May,Andheri,1 BHK,Soresea,675,1.0,1.0,33571.42857,40285.714283999994
Built-up  Area,Ready To Move,Juhu,2 BHK,GMown E,1060,2.0,1.0,17333.33333,22533.333329
Super built-up  Area,18-Jun,Santacruz,2 BHK,SSdhimr,1235,2.0,2.0,19447.92974,19447.92974
Plot  Area,18-May,Andheri,2 Bedroom,,600,4.0,1.0,9056.603774,10867.924528799998
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1250,2.0,1.0,45138.88889,45138.88889
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Ajacea ,1460,2.0,3.0,15200.0,15200.0
Super built-up  Area,Ready To Move,Khar,3 BHK,DLhtsnd,1690,3.0,2.0,19287.83383,19287.83383
Built-up  Area,Ready To Move,Lower Parel,1 BHK,GoilsDa,850,1.0,2.0,20785.2194,20785.2194
Super built-up  Area,Ready To Move,Chembur,3 BHK,PuandHi,1843,3.0,2.0,16115.70248,16115.70248
Built-up  Area,Ready To Move,Khar,3 BHK,Eladero,1680,3.0,2.0,18113.20755,18113.20755
Super built-up  Area,Ready To Move,Dadar,2 BHK,Dieldli,1047,2.0,1.0,5555.555556,6666.6666672
Super built-up  Area,18-Jun,Khar,2 BHK,,1100,2.0,2.0,7376.884422,7376.884422
Plot  Area,Ready To Move,Powai,8 Bedroom,,3250,8.0,1.0,13540.62187,13540.62187
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1120,2.0,3.0,21212.12121,21212.12121
Super built-up  Area,Ready To Move,Mulund,2 BHK,Shmai D,1095,2.0,2.0,15612.90323,15612.90323
Super built-up  Area,19-Oct,Borivali,2 BHK,,970,2.0,2.0,14705.88235,14705.88235
Plot  Area,Ready To Move,Lower Parel,5 Bedroom,Duavenc,1200,7.0,2.0,31000.0,31000.0
Built-up  Area,Ready To Move,Dadar,3 BHK,Saowsou,1100,2.0,3.0,10429.44785,12515.33742
Super built-up  Area,Ready To Move,Kurla,3 BHK,Baveles,1685,3.0,2.0,18604.65116,18604.65116
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1148,2.0,1.0,15073.52941,15073.52941
Built-up  Area,Ready To Move,Khar,2 BHK,Palanla,1050,2.0,1.0,13386.45418,13386.45418
Super built-up  Area,Ready To Move,Andheri,3 BHK,SNity S,1465,2.0,1.0,20588.23529,24705.882348
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,Fencyes,3401,5.0,,36185.6109,36185.6109
Built-up  Area,17-Dec,Khar,1 BHK,Prarkun,630,1.0,1.0,20888.88889,20888.88889
Super built-up  Area,Ready To Move,Mulund,3 BHK,Brngsal,1850,3.0,1.0,27500.0,27500.0
Plot  Area,Ready To Move,Juhu,9 Bedroom,,1200,9.0,,20388.34951,26504.854363000002
Built-up  Area,Ready To Move,Vile Parle,4 Bedroom,,1750,2.0,1.0,8104.575163,8104.575163
Built-up  Area,Ready To Move,Worli,3 BHK,Maenara,1350,3.0,1.0,7466.666667,7466.666667
Super built-up  Area,Ready To Move,Borivali,3 BHK,Saitya ,1760,3.0,2.0,22000.0,22000.0
Super built-up  Area,Ready To Move,Mulund,2 BHK,Brway G,1440,2.0,2.0,13111.11111,13111.11111
Super built-up  Area,Ready To Move,Worli,2 BHK,SrentAp,1200,2.0,0.0,14380.95238,14380.95238
Built-up  Area,Ready To Move,Goregaon,2 BHK,Matrai ,1100,2.0,1.0,20384.61538,20384.61538
Built-up  Area,Ready To Move,Malad,2 BHK,,1140,2.0,2.0,39281.70595,39281.70595
Super built-up  Area,19-Aug,Kurla,3 BHK,DSapete,1469 - 1766,3.0,0.0,12500.0,12500.0
Super built-up  Area,Ready To Move,Juhu,2 BHK,MBireap,1410,2.0,2.0,20000.0,26000.0
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Neisei ,1434,2.0,1.0,18333.33333,18333.33333
Plot  Area,Ready To Move,Juhu,2 Bedroom,,1180,2.0,2.0,15000.0,19500.0
Super built-up  Area,Ready To Move,Chembur,2 BHK,Dhalsh ,1160,2.0,2.0,6758.62069,6758.62069
Super built-up  Area,Ready To Move,Bandra,2 BHK,Ste 2al,1343,2.0,2.0,69437.5,69437.5
Built-up  Area,Ready To Move,Powai,2 BHK,,1184,2.0,1.0,17230.76923,17230.76923
Super built-up  Area,Ready To Move,Worli,3 BHK,Proodt ,2246,3.0,0.0,84615.38462,84615.38462
Built-up  Area,Ready To Move,Dadar,3 Bedroom,,4510,4.0,3.0,12500.0,15000.0
