area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Khar,3 BHK,Goty  E,1575,3,2,23636.36364
Super built-up  Area,Ready To Move,Andheri,2 BHK,MaidoPl,1302,2,1,9313.72549
Plot  Area,Ready To Move,Kurla,6 Bedroom,,1800,8,1,26351.35135
Super built-up  Area,18-Jan,Mulund,3 BHK,SoisoCa,2006.8,4,2,6444.444444
Built-up  Area,Ready To Move,Mulund,2 BHK,,1100,2,2,20555.55556
Plot  Area,Ready To Move,Khar,5 Bedroom,,2400,5,2,6198.347107
Super built-up  Area,Ready To Move,Bandra,2 BHK,,830,2,2,15677.9661
Built-up  Area,Ready To Move,Andheri,1 RK,GMown E,435,1,1,45000
Super built-up  Area,Ready To Move,Dadar,3 BHK,Dovel M,1590,3,0,24657.53425
Built-up  Area,18-Aug,Ghatkopar,2 BHK,Sryalan,1140,2,1,26011.56069
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Srire S,1090,2,2,6849.315068
Super built-up  Area,Ready To Move,Colaba,3 BHK,R ra  R,1922,3,3,17468.35443
Super built-up  Area,Ready To Move,Dadar,2 BHK,Bhmesy ,965,2,1,20114.94253
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,883,2,1,17925.92593
Super built-up  Area,Ready To Move,Andheri,2 BHK,MBodsen,1062,2,1,18750
Super built-up  Area,18-Oct,Bandra,2 BHK,SRhtsa ,888 - 1290,2,0,25000
Super built-up  Area,Ready To Move,Andheri,3 BHK,ARngsd ,1358,2,1,18674.6988
Super built-up  Area,22-Jun,Mulund,2 BHK,GoAirej,1108,2,1,8955.223881
Super built-up  Area,17-Jun,Malad,2 BHK,Prncyrn,1197,2,1,14883.72093
Super built-up  Area,19-Jul,Ghatkopar,2 BHK,Frhtsr ,1190,2,1,19027.48414
Super built-up  Area,Ready To Move,Lower Parel,4 BHK,Soeurri,3754,6,2,9142.857143
Super built-up  Area,21-Jun,Worli,3 BHK,Saityat,1749,3,1,17200
Plot  Area,Ready To Move,Khar,4 Bedroom,NVanat ,1750,3,2,15384.61538
Super built-up  Area,18-Aug,Chembur,3 BHK,,1691,3,2,13580.24691
Built-up  Area,Ready To Move,Colaba,3 BHK,Goty  E,1449,3,2,22666.66667
Super built-up  Area,Ready To Move,Borivali,3 BHK,SNeur G,1360 - 1890,,,19444.44444
Built-up  Area,Ready To Move,Goregaon,2 BHK,Vastael,1400,2,1,6571.428571
Super built-up  Area,18-Dec,Worli,3 BHK,,1310,2,1,26810.47766
Built-up  Area,18-May,Chembur,2 BHK,,1100,2,1,4666.666667
Super built-up  Area,Ready To Move,Worli,3 BHK,,1230,2,2,39545.45455
Super built-up  Area,Ready To Move,Andheri,3 BHK,Soionar,1750,3,2,26408.4507
Super built-up  Area,Ready To Move,Worli,3 BHK,BriumMi,1450,3,2,8807.33945
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SNnia E,1810,3,2,18709.67742
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Prlla C,1246,2,1,34905.66038
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Baentgi,1420,3,2,8125
Super built-up  Area,21-Dec,Santacruz,4 BHK,Jaades ,2658,5,3,3834.196891
Super built-up  Area,18-Oct,Andheri,3 BHK,,1450,2,3,19655.17241
Super built-up  Area,Ready To Move,Kurla,4 BHK,,1200,4,1,16428.57143
Built-up  Area,Ready To Move,Worli,2 BHK,Hoens T,1367,2,2,31052.63158
Built-up  Area,18-Aug,Malad,3 BHK,Sodgere,2254,3,2,28921.56863
Super built-up  Area,Ready To Move,Andheri,2 BHK,Dhalsh ,1160,2,2,41666.66667
Plot  Area,Ready To Move,Ghatkopar,5 Bedroom,,1200,4,0,18987.34177
Super built-up  Area,Ready To Move,Powai,3 BHK,KMnorab,1711,3,3,13043.47826
Plot  Area,Ready To Move,Malad,9 Bedroom,,750,6,3,15238.09524
Super built-up  Area,Ready To Move,Bandra,2 BHK,GrrvaGr,1120,2,2,34285.71429
Super built-up  Area,Ready To Move,Dadar,2 BHK,Baowsig,950,2,1,10155.44041
Built-up  Area,Ready To Move,Juhu,2 BHK,Asncyes,1560,2,2,20238.09524
Super built-up  Area,Ready To Move,Dadar,14 BHK,,1250,15,0,12124.15131
Super built-up  Area,18-Aug,Goregaon,2 BHK,,1225,2,2,7572.815534
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,2,0,19444.44444
Built-up  Area,Ready To Move,Malad,2 BHK,Skarkev,1340,2,3,17647.05882
Super built-up  Area,Ready To Move,Andheri,3 BHK,Adeatlm,1846,3,3,14594.59459
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1155,2,1,20673.07692
Super built-up  Area,17-Jun,Goregaon,2 BHK,Soresea,1205,2,1,17261.90476
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,SLaceda,1140,2,1,22768.67031
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,GrrvaGr,1140,2,2,26666.66667
Super built-up  Area,Ready To Move,Mulund,3 BHK,ShshaSa,1300,2,1,14705.88235
Super built-up  Area,Ready To Move,Powai,2 BHK,Soodsa ,1051,2,2,29411.76471
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1134,2,1,16258.06452
Super built-up  Area,Ready To Move,Chembur,3 BHK,Soianal,2500,4,1,16339.86928
Plot  Area,18-May,Chembur,8 Bedroom,Epllan ,12000,9,,30232.55814
Built-up  Area,Ready To Move,Borivali,2 BHK,Dwity T,1135,2,2,41666.66667
Built-up  Area,Ready To Move,Worli,3 BHK,,1745,3,2,16939.89071
Plot  Area,Ready To Move,Ghatkopar,5 Bedroom,,500,5,2,18275.86207
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Srowsrj,1665,3,2,23750
Super built-up  Area,17-Dec,Kurla,2 BHK,SaareNo,1220,2,2,15000
Super built-up  Area,21-Feb,Chembur,3 BHK,,1868,3,2,30434.78261
Built-up  Area,Ready To Move,Santacruz,3 Bedroom,,640,3,0,12643.67816
Plot  Area,Ready To Move,Powai,4 Bedroom,,2300,4,,36363.63636
Super built-up  Area,20-Dec,Kurla,2 BHK,,1210,2,1,17316.01732
Super built-up  Area,Ready To Move,Santacruz,2 BHK,SJodsed,1351,2,1,15862.06897
Super built-up  Area,21-Dec,Vile Parle,3 BHK,Oztarol,1636,3,1,16008.53789
Plot  Area,Ready To Move,Chembur,5 Bedroom,,2400,6,1,23529.41176
Super built-up  Area,Ready To Move,Bandra,2 BHK,NRowse ,1464,2,2,6122.44898
Built-up  Area,Ready To Move,Mulund,1 BHK,Jae 1hu,418,1,1,29735.68282
Built-up  Area,Ready To Move,Goregaon,2 BHK,PuandHi,1339,2,2,13997.76036
Super built-up  Area,18-Jul,Vile Parle,3 BHK,Mamespa,2370,4,2,22500
Super built-up  Area,Ready To Move,Dadar,3 BHK,Sovar S,1530,2,2,26824.03433
Super built-up  Area,Ready To Move,Goregaon,2 BHK,DSvil S,1100,2,1,8958.333333
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1350,3,2,7605.633803
Super built-up  Area,Ready To Move,Colaba,2 BHK,Srers T,1290,2,2,8661.417323
Built-up  Area,18-Dec,Kurla,3 BHK,,1220,2,1,6310.679612
Super built-up  Area,Ready To Move,Khar,3 BHK,SollaMa,1846,3,2,8500
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SoitaCa,1847,3,2,18947.36842
Plot  Area,Ready To Move,Borivali,4 Bedroom,Adowslm,3100,4,2,18181.81818
Super built-up  Area,22-Jun,Worli,2 BHK,GoAirej,1430,2,2,17794.11765
Super built-up  Area,19-Dec,Colaba,2 BHK,SheldGr,935,2,1,7976.878613
Plot  Area,Ready To Move,Borivali,3 Bedroom,,1350,3,1,7142.857143
Built-up  Area,Ready To Move,Colaba,3 Bedroom,,540,3,1,15000
Super built-up  Area,18-Sep,Ghatkopar,3 BHK,Shxorm ,1590,3,2,20072.9927
Built-up  Area,18-Apr,Bandra,3 BHK,,1286,3,1,20312.5
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1141,2,2,17500
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1554,3,3,7643.312102
Built-up  Area,Ready To Move,Mulund,3 BHK,Brium C,3520,3,3,16744.18605
Super built-up  Area,19-Jan,Colaba,5 BHK,,7500,7,3,20467.83626
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,1749,3,2,24916.66667
Plot  Area,Ready To Move,Colaba,5 Bedroom,,2250,5,1,14814.81481
Carpet  Area,Ready To Move,Bandra,2 BHK,,1140,2,3,7727.272727
Plot  Area,Ready To Move,Powai,4 Bedroom,Prana S,1632,3,1,31730.76923
Super built-up  Area,Ready To Move,Andheri,3 BHK,ItRRVna,1000,2,1,35064.93506
Super built-up  Area,Ready To Move,Worli,2 BHK,Salms G,1065,2,1,14210.52632
Super built-up  Area,18-Mar,Santacruz,3 BHK,SNnia E,1520,2,2,9836.065574
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prityel,1075,2,1,28571.42857
Built-up  Area,Ready To Move,Kurla,7 BHK,,5,7,3,6796.875
Built-up  Area,Ready To Move,Colaba,3 BHK,Names H,1539,2,2,19387.7551
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Saitya ,1342,2,2,39062.5
Super built-up  Area,Ready To Move,Borivali,2 BHK,Feissx ,1004,2,1,33707.86517
Super built-up  Area,Ready To Move,Juhu,2 BHK,SVodsve,1295,2,2,38815.78947
Super built-up  Area,17-Oct,Goregaon,2 BHK,Bhmesy ,1098,2,1,20249.22118
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1070,2,1,34321.37285
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1016,2,2,26666.66667
Built-up  Area,Ready To Move,Chembur,3 BHK,Srthaa ,1450,3,1,16521.73913
Super built-up  Area,18-Apr,Khar,1 BHK,Prensya,654,1,1,18421.05263
Super built-up  Area,Ready To Move,Lower Parel,4 BHK,,5985,4,,26582.27848
Super built-up  Area,18-Aug,Goregaon,2 BHK,,1080,2,2,45333.33333
Super built-up  Area,21-Jun,Kurla,2 BHK,Saahaat,1046,2,1,13578.94737
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Saiewas,1950,3,3,12980.76923
Super built-up  Area,18-Jul,Malad,3 BHK,Rosha I,1610,3,1,18235.29412
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,2493,3,,22777.77778
Super built-up  Area,18-May,Kurla,2 BHK,ViistLa,1151,2,2,16235.29412
Super built-up  Area,Ready To Move,Malad,2 BHK,PaanaCh,1125,2,1,31777.5571
Super built-up  Area,18-Mar,Khar,2 BHK,,992,2,2,36512.26158
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1000,3,2,16651.66517
Plot  Area,Ready To Move,Chembur,5 Bedroom,,2400,3,2,33928.57143
Super built-up  Area,Ready To Move,Worli,3 BHK,AxinoCi,1850,3,2,9225.806452
Super built-up  Area,Ready To Move,Borivali,2 BHK,Prncyrn,1174,2,1,17532.46753
Super built-up  Area,18-Mar,Colaba,3 BHK,SNontle,2466 - 2856,,,18500
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1100,2,1,16455.6962
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1095,2,1,19345.2381
Super built-up  Area,20-Dec,Kurla,3 BHK,,3580,3,1,30384.61538
Plot  Area,18-Mar,Dadar,3 Bedroom,,900,4,3,20529.41176
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1082,2,0,25268.8172
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1350,2,3,21782.84182
Super built-up  Area,17-Dec,Chembur,2 BHK,Alestrb,1314,2,2,17021.2766
Super built-up  Area,18-May,Santacruz,2 BHK,,1290,2,3,18032.78689
Super built-up  Area,Ready To Move,Kurla,2 BHK,WishiVa,1010,2,2,12000
Built-up  Area,Ready To Move,Mulund,2 Bedroom,,2200,2,0,17313.43284
Built-up  Area,Ready To Move,Chembur,3 BHK,,1636,3,2,29973.04582
Super built-up  Area,18-Jul,Vile Parle,2 BHK,,1050,2,2,6476.190476
Plot  Area,Ready To Move,Juhu,2 Bedroom,,1200,2,2,28647.05882
Super built-up  Area,18-Aug,Colaba,3 BHK,SNnia E,1520,2,2,21875
Super built-up  Area,Ready To Move,Colaba,5 BHK,,2500,5,,7500
Super built-up  Area,20-Aug,Lower Parel,2 BHK,Ahciace,1067,2,1,15306.12245
Built-up  Area,Ready To Move,Dadar,2 BHK,,1060,2,2,25988.38817
Super built-up  Area,18-Mar,Powai,2 BHK,SSestth,955,2,1,19090.90909
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prtanha,1418,2,2,18571.42857
Plot  Area,Ready To Move,Powai,9 Bedroom,,1200,8,,23255.81395
Built-up  Area,Ready To Move,Dadar,2 BHK,,700,1,0,28532.6087
Super built-up  Area,18-Dec,Worli,2 BHK,PrityFa,1366,2,1,27272.72727
Built-up  Area,Ready To Move,Borivali,2 BHK,PronsEn,1090,2,2,12962.96296
Built-up  Area,Ready To Move,Borivali,3 BHK,DLhtsan,1250,3,2,23809.52381
Super built-up  Area,Ready To Move,Chembur,4 BHK,,3600,4,3,26614.6203
Super built-up  Area,21-Aug,Chembur,2 BHK,,950,2,1,10882.35294
Super built-up  Area,Ready To Move,Worli,2 BHK,Suurtni,1470,2,2,14375
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1250,2,2,21666.66667
Plot  Area,Ready To Move,Juhu,4 Bedroom,,800,4,1,19310.34483
Super built-up  Area,Ready To Move,Dadar,3 BHK,DNncasa,1494,2,2,5714.285714
Built-up  Area,18-May,Dadar,3 BHK,Maity W,1445,2,1,16260.1626
Super built-up  Area,Ready To Move,Colaba,3 BHK,Dieldli,1397,3,3,13966.48045
Super built-up  Area,19-Dec,Bandra,1 BHK,Saityat,606,1,1,42857.14286
Built-up  Area,Ready To Move,Borivali,2 BHK,Mauner ,861,2,1,23840
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1170,2,2,17368.42105
Super built-up  Area,18-Dec,Chembur,4 BHK,Prood P,2461,6,2,14507.77202
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Dwterai,1205,2,1,22602.73973
Plot  Area,Ready To Move,Borivali,8 Bedroom,,1224,4,0,20195.83843
Built-up  Area,Ready To Move,Powai,1 BHK,,660,1,0,20994.47514
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1153,2,2,18855.21886
Plot  Area,Ready To Move,Ghatkopar,5 Bedroom,,2400,5,3,27647.05882
Super built-up  Area,18-May,Khar,5 BHK,Brica E,4500,7,3,28333.33333
Super built-up  Area,Ready To Move,Goregaon,2 BHK,J isear,1200,2,2,22340.42553
Built-up  Area,Ready To Move,Juhu,3 BHK,Mallad ,1450,3,3,21142.85714
Super built-up  Area,Ready To Move,Andheri,2 BHK,PrityTr,1139,2,2,20229.00763
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Soinequ,1530,3,2,35820.89552
Plot  Area,18-Feb,Khar,6 Bedroom,,825,6,,16470.58824
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Goty  E,1575,3,3,15473.68421
Super built-up  Area,Ready To Move,Powai,1 BHK,Pranthi,650,1,1,23529.41176
Super built-up  Area,18-Apr,Kurla,2 BHK,,1120,2,2,18367.34694
Super built-up  Area,Ready To Move,Powai,3 BHK,BMoldar,1700,3,1,9444.444444
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Ikmesay,1090,2,2,42952.38095
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1897,4,2,20388.34951
Plot  Area,18-Feb,Lower Parel,3 Bedroom,V2gesre,1200,3,2,19500
Super built-up  Area,21-Dec,Kurla,2 BHK,PrarePa,700,2,1,42121.21212
Super built-up  Area,21-Dec,Chembur,2 BHK,Bhe 2ko,1437,2,1,10000
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1856,3,1,39625.36023
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,1500,2,0,20000
Super built-up  Area,18-Dec,Malad,2 BHK,Koagati,1036,2,1,20833.33333
Super built-up  Area,Ready To Move,Santacruz,6 BHK,,3000,8,,17916.66667
Super built-up  Area,Ready To Move,Mulund,2 BHK,Inasy E,1125,2,2,36599.0991
Super built-up  Area,18-Oct,Goregaon,3 BHK,,1320,2,3,33007.33496
Super built-up  Area,Ready To Move,Powai,3 BHK,Sariaat,2215,4,1,41459.36982
Super built-up  Area,Ready To Move,Worli,2 BHK,Itelaa ,660,1,1,23809.52381
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1730,3,3,37894.73684
Plot  Area,Ready To Move,Andheri,4 Bedroom,,750,4,0,21264.36782
Super built-up  Area,21-Dec,Mulund,3 BHK,Sodgere,1804,3,1,16783.21678
Super built-up  Area,19-May,Juhu,3 BHK,G conTh,1795,3,2,30583.87396
Super built-up  Area,Ready To Move,Andheri,2 BHK,Srayai ,1050,2,1,18575.85139
Super built-up  Area,Ready To Move,Malad,3 BHK,Prndsde,2100,3,3,16666.66667
Built-up  Area,Ready To Move,Malad,3 BHK,,1199,2,1,22660.09852
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,1350,2,2,18452.38095
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1100,2,2,9950
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1000,1,1,15300.54645
Super built-up  Area,22-Mar,Colaba,3 BHK,,1254,2,2,5444.444444
Plot  Area,18-Apr,Borivali,8 Bedroom,,600,8,,5333.333333
Built-up  Area,Ready To Move,Bandra,2 BHK,Solle V,940,2,2,21600
Built-up  Area,Ready To Move,Dadar,2 BHK,MaeamSu,1280,2,2,27350.42735
Super built-up  Area,Ready To Move,Goregaon,4 BHK,Sulesil,2155,3,3,19442.09637
Built-up  Area,Ready To Move,Lower Parel,5 Bedroom,Reyle L,3200,5,3,21117.64706
Super built-up  Area,18-Oct,Lower Parel,4 BHK,,4260,4,3,17578.125
Super built-up  Area,20-Aug,Bandra,3 BHK,Magiaya,1255,2,1,15909.09091
Super built-up  Area,Ready To Move,Juhu,3 BHK,AritaFe,1388,3,3,33928.57143
Built-up  Area,17-Jun,Powai,1 RK,Prtates,905,1,1,21461.53846
Super built-up  Area,Ready To Move,Bandra,2 BHK,Vaurtar,1176,2,2,25217.3913
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Hemai D,1390,2,2,8370.044053
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,2400,4,2,21250
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1160,2,1,18713.45029
Super built-up  Area,Ready To Move,Goregaon,4 BHK,,2800,4,3,17142.85714
Plot  Area,Ready To Move,Chembur,4 Bedroom,,1200,4,2,16292.13483
Super built-up  Area,Ready To Move,Goregaon,3 BHK,PueraRi,1583,3,3,6818.181818
Super built-up  Area,Ready To Move,Borivali,3 BHK,DLhtsen,1252,3,,24000
Built-up  Area,Ready To Move,Khar,2 BHK,TealdEm,1170,2,2,28260.86957
Built-up  Area,Ready To Move,Bandra,3 BHK,,1350,2,,46153.84615
Super built-up  Area,Ready To Move,Khar,2 BHK,HivanBr,1075,2,2,21176.47059
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,972,2,2,8546.059933
Super built-up  Area,19-Jan,Kurla,3 BHK,Hiatei ,1486,3,1,20500
Plot  Area,Ready To Move,Kurla,2 Bedroom,,555,1,0,23846.15385
Plot  Area,Ready To Move,Kurla,4 Bedroom,Prsisge,4830,5,1,26595.74468
Built-up  Area,Ready To Move,Worli,2 BHK,,850,2,1,7250
Super built-up  Area,20-Dec,Colaba,3 BHK,Shestlo,1282,3,2,6250
Super built-up  Area,19-Jun,Ghatkopar,4 BHK,Raard B,2790,4,3,20000
Super built-up  Area,Ready To Move,Colaba,4 BHK,Puallhi,2383,5,1,8934.010152
Carpet  Area,Ready To Move,Santacruz,2 BHK,Malmsri,1103,2,1,24090.59712
Super built-up  Area,Ready To Move,Chembur,3 BHK,MJeusyl,1577,3,2,31818.18182
Built-up  Area,Ready To Move,Kurla,3 BHK,NCowsar,1465,3,2,20833.33333
Built-up  Area,Ready To Move,Andheri,3 BHK,Inion P,1600,3,1,28333.33333
Built-up  Area,Ready To Move,Chembur,2 BHK,TGeepga,1090,2,2,41600
Super built-up  Area,19-Dec,Powai,3 BHK,Goues A,1721,3,3,26767.67677
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1100,2,1,41935.48387
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Vaensia,1450,3,2,38509.31677
Super built-up  Area,Ready To Move,Colaba,2 BHK,SraveHi,1071,2,1,19736.84211
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Saciatt,2266,3,2,37267.08075
Super built-up  Area,Ready To Move,Andheri,3 BHK,Goourta,2065,3,2,8333.333333
Built-up  Area,Ready To Move,Andheri,3 BHK,PuandHi,1800,3,2,26956.52174
Built-up  Area,Ready To Move,Goregaon,2 BHK,,1150,2,2,25033.4672
Plot  Area,Ready To Move,Goregaon,8 Bedroom,,1200,8,2,31468.53147
Super built-up  Area,Ready To Move,Colaba,2 BHK,ARureig,1123,2,1,22307.69231
Super built-up  Area,Ready To Move,Kurla,3 BHK,DLhtsnd,1884,3,3,18705.88235
Plot  Area,Ready To Move,Worli,7 Bedroom,,930,4,2,6350
Super built-up  Area,Ready To Move,Mulund,2 BHK,RothaVa,1145,2,1,20224.7191
Super built-up  Area,18-Apr,Kurla,3 BHK,Arcia S,1328,2,2,13700
Super built-up  Area,Ready To Move,Khar,2 BHK,Prldsri,950,2,1,37446.80851
Super built-up  Area,Ready To Move,Kurla,2 BHK,TuiteIn,1250,2,,33333.33333
Built-up  Area,Ready To Move,Lower Parel,2 BHK,DStra S,1115,2,0,20481.92771
Super built-up  Area,Ready To Move,Kurla,3 BHK,Mauner ,1318,3,1,6010.362694
Built-up  Area,Ready To Move,Andheri,3 BHK,,3300,4,3,17199.0172
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1280,2,1,7777.777778
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1230,2,2,14342.62948
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1420,2,2,19897.95918
Built-up  Area,Ready To Move,Santacruz,3 Bedroom,,2111,4,3,23125
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1100,2,1,17619.04762
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1750,3,2,13043.47826
Built-up  Area,Ready To Move,Powai,3 BHK,,2550,4,2,15135.13514
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,700,1,2,19453.55191
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1050,2,1,16781.83613
Super built-up  Area,Ready To Move,Powai,2 BHK,Ihnueut,1235,2,3,37037.03704
Plot  Area,Ready To Move,Kurla,2 Bedroom,Pantym ,1200,2,0,27333.33333
Super built-up  Area,Ready To Move,Borivali,2 BHK,,900,2,0,11666.66667
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,SLaceda,1146,2,1,13529.41176
Plot  Area,Ready To Move,Chembur,4 Bedroom,,1200,4,1,43750
Super built-up  Area,Ready To Move,Andheri,1 BHK,,2400,1,1,16730.40153
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1200,5,2,18750
Built-up  Area,Ready To Move,Mulund,1 BHK,,615,1,1,18750
Super built-up  Area,19-Apr,Khar,2 BHK,Brama P,1070,2,1,17173.91304
Plot  Area,Ready To Move,Malad,5 Bedroom,,1538,5,2,7589.473684
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1355,2,3,18888.88889
Built-up  Area,Ready To Move,Chembur,4 BHK,ThBayah,3080,2,1,16666.66667
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1800,3,3,22424.24242
Built-up  Area,Ready To Move,Juhu,3 BHK,Dhalsh ,1400,2,3,23602.48447
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Aklia R,1123,2,1,18518.51852
Plot  Area,Ready To Move,Worli,4 Bedroom,,1200,2,1,4800
Built-up  Area,Ready To Move,Khar,2 BHK,UKanema,787,2,1,12727.27273
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Prrtht ,1082,2,1,9746.835443
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1096,2,1,76470.58824
Plot  Area,Ready To Move,Dadar,7 Bedroom,,1200,7,2,37500
Plot  Area,Ready To Move,Goregaon,3 Bedroom,,1140,3,1,14190.47619
Carpet  Area,Ready To Move,Bandra,2 BHK,Niiman ,1130,2,1,17142.85714
Built-up  Area,Ready To Move,Colaba,1 BHK,,550,1,1,18987.34177
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1058,2,2,19125
Built-up  Area,Ready To Move,Worli,3 BHK,Cevely ,1269,2,1,82352.94118
Plot  Area,Ready To Move,Borivali,3 Bedroom,,946,3,,18750
Super built-up  Area,Ready To Move,Colaba,4 BHK,,3400,6,,18823.52941
Super built-up  Area,19-Jan,Colaba,4 BHK,PrityFa,2689,6,2,19622.09302
Super built-up  Area,18-Oct,Malad,3 BHK,DSapeSk,1976,3,3,15762.2739
Super built-up  Area,Ready To Move,Juhu,3 BHK,Gilleon,1820,3,3,10659.89848
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Aklia R,1329,2,1,29411.76471
Super built-up  Area,Ready To Move,Worli,3 BHK,,1350,2,1,14500
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1250,3,0,6470.588235
Super built-up  Area,Ready To Move,Malad,2 BHK,SSthamh,1205,2,1,15625
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,800,6,2,17885.53259
Super built-up  Area,Ready To Move,Kurla,2 BHK,PuandHi,1339,2,2,8000
Super built-up  Area,Ready To Move,Malad,2 BHK,,938,2,0,6540.697674
Super built-up  Area,Ready To Move,Goregaon,1 BHK,,450,1,1,14285.71429
Built-up  Area,Ready To Move,Malad,2 BHK,Komesa ,1100,2,2,10736.19632
Built-up  Area,Ready To Move,Dadar,4 Bedroom,,600,3,1,9523.809524
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1060,2,1,21739.13043
Super built-up  Area,Ready To Move,Powai,2 BHK,,1125,2,2,38095.2381
Built-up  Area,Ready To Move,Andheri,1 BHK,SatraNa,810,1,0,50200
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1060,2,1,7555.555556
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1749,4,0,18421.05263
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1200,2,2,9577.777778
Super built-up  Area,Ready To Move,Borivali,2 BHK,Lehidrc,1100,2,1,6179.775281
Super built-up  Area,18-May,Powai,1 BHK,AsNowre,660 - 700,1,0,18243.24324
Plot  Area,Ready To Move,Dadar,4 Bedroom,,720,4,2,17419.35484
Plot  Area,Ready To Move,Chembur,5 Bedroom,Chranya,6613,7,,34090.90909
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Goeur G,1925,3,3,25925.92593
Built-up  Area,Ready To Move,Kurla,1 BHK,,502,1,1,5697.297297
Built-up  Area,Ready To Move,Mulund,3 Bedroom,Prood G,3339,3,0,14987.51041
Built-up  Area,Ready To Move,Worli,3 BHK,Arhtsth,1475,2,2,15456.67447
Super built-up  Area,18-Aug,Khar,3 BHK,,1550,3,2,17575.75758
Super built-up  Area,18-Apr,Andheri,2 BHK,,966,2,1,5034.129693
Plot  Area,Ready To Move,Powai,6 Bedroom,,1350,6,3,16581.63265
Super built-up  Area,Ready To Move,Powai,2 BHK,NDionas,1300,2,2,16650
Plot  Area,Ready To Move,Borivali,5 Bedroom,,4400,4,1,15425.53191
Super built-up  Area,21-May,Mulund,3 BHK,Sourtal,1559,3,2,4878.04878
Super built-up  Area,Ready To Move,Khar,2 BHK,,1246,2,1,31818.18182
